time,x,y,v_x,v_y
43329600.0,-195645761548.23724,-150977540230.8034,13341.048864019729,-18636.227466446282
43372800.0,-193326273362.3885,-154186918711.9914,13637.111034640273,-18405.665133758077
43416000.0,-190955820491.34995,-157356245000.12964,13929.07833735674,-18170.69127977626
43459200.0,-188535113241.12363,-160484760291.3869,14216.89411816825,-17931.379504061457
43502400.0,-186064871646.14148,-163571718520.8012,14500.503008663502,-17687.80384020574
43545600.0,-183545825247.46848,-166616386436.3374,14779.850918590973,-17440.038736146787
43588800.0,-180978712872.29758,-169618043669.56723,15054.885028271548,-17188.159034991466
43632000.0,-178364282414.7621,-172575982803.0598,15325.553780870223,-16932.239956342502
43675200.0,-175703290618.0899,-175489509434.569,15591.806874543096,-16672.35707812178
43718400.0,-172996502858.12012,-178357942238.10355,15853.595254475402,-16408.586318883248
43761600.0,-170244692928.1997,-181180613021.96365,16110.871104825828,-16141.003920608397
43804800.0,-167448642825.4765,-183956866783.82733,16363.587840591954,-15869.686431976705
43848000.0,-164609142538.60077,-186686061762.9686,16611.700099411144,-15594.710692103392
43891200.0,-161726989836.84622,-189367569489.687,16855.163733310794,-15316.153814736446
43934400.0,-158802990060.6584,-192000774832.0285,17093.935800421394,-15034.093172904755
43977600.0,-155837955913.63644,-194585076039.87436,17327.974556665373,-14748.60638400887
44020800.0,-152832707255.95148,-197119884786.47464,17557.239447434273,-14459.771295345796
44064000.0,-149788070899.20343,-199604626207.50067,17781.69109926643,-14167.66597005899
44107200.0,-146704880402.71527,-202038738937.68976,18001.291311536723,-13872.368673504563
44150400.0,-143583975871.26257,-204421675145.15323,18216.003048169776,-13573.957860024579
44193600.0,-140426203754.23297,-206752900563.4182,18425.79042938734,-13272.512160118124
44236800.0,-137232416646.21027,-209031894521.27087,18630.618723500287,-12968.110368000773
44280000.0,-134003473088.97374,-211258149970.46838,18830.454338755255,-12660.83142954287
44323200.0,-130740237374.9038,-213431173511.38412,19025.264815245475,-12350.754430577035
44366400.0,-127443579351.78177,-215550485416.64972,19215.018816895015,-12037.958585565118
44409600.0,-124114374228.97112,-217615619652.85547,19399.68612352523,-11722.523226614781
44452800.0,-120753502384.96524,-219626123900.36914,19579.2376230118,-11404.527792835835
44496000.0,-117361849176.28583,-221581559571.3312,19753.64530354043,-11084.051820026334
44539200.0,-113940304747.71463,-223481501825.88348,19922.882245968838,-10761.174930678439
44582400.0,-110489763843.83951,-225325539586.6853,20086.922616302312,-10435.976824293928
44625600.0,-107011125621.89508,-227113275551.7708,20245.741658289793,-10108.537267999312
44668800.0,-103505293465.87682,-228844326205.79825,20399.31568614699,-9778.936087450356
44712000.0,-99973174801.9062,-230518321829.74124,20547.62207741283,-9447.253158015856
44755200.0,-96415680914.82375,-232134906509.0692,20690.63926594504,-9113.5683962305
44798400.0,-92833726765.98547,-233693738140.46344,20828.346735060426,-8777.961751506602
44841600.0,-89228230812.2377,-235194488437.1129,20960.725010825063,-8440.513198094513
44884800.0,-85600114826.04385,-236636842932.63223,21087.75565549928,-8101.302727281495
44928000.0,-81950303716.73651,-238020500983.6427,21209.42126114194,-7760.410339818879
44971200.0,-78279725352.86687,-239345175771.05502,21325.705443378363,-7417.91603856733
45014400.0,-74589310385.623,-240610594300.09128,21436.592835335745,-7073.899821350027
45057600.0,-70879992073.28813,-241816497399.08148,21542.06908174972,-6728.441674003641
45100800.0,-67152706106.70888,-242962639717.0682,21642.120833245455,-6381.621563616971
45144000.0,-63408390435.743286,-244048789720.25156,21736.735740796237,-6033.51943194716
45187200.0,-59647985096.6579,-245074729687.30447,21825.90245036241,-5684.215189003449
45230400.0,-55872432040.44245,-246040255703.58688,21909.61059771302,-5333.788706788414
45273600.0,-52082674962.01066,-246945177654.2856,21987.850803432513,-4982.319813186747
45316800.0,-48279659130.25487,-247789319216.50455,22060.614668114227,-4629.888285991633
45360000.0,-44464331218.922295,-248572517850.32916,22127.89476774253,-4276.5738470588385
45403200.0,-40637639138.28027,-249294624788.88632,22189.684649264847,-3922.456156578677
45446400.0,-36800531867.53745,-249955505027.41962,22245.978826354763,-3567.614807456071
45489600.0,-32953959287.98801,-250555037311.39822,22296.772775367106,-3212.1293197889877
45532800.0,-29098872016.845657,-251093114123.67612,22342.062931485576,-2856.079135435574
45576000.0,-25236221241.734116,-251569641670.71616,22381.84668506337,-2499.5436126603868
45619200.0,-21366958555.800766,-251984539867.8926,22416.12237815681,-2142.60202085018
45662400.0,-17492035793.420013,-252337742323.88336,22444.889301252035,-1785.3335352897534
45705600.0,-13612404866.453135,-252629196324.16196,22468.14769018424,-1427.8172319884684
45748800.0,-9729017601.031301,-252858862813.59778,22485.898723248974,-1070.1320825480736
45792000.0,-5842825574.828652,-253026716378.17072,22498.144518504658,-712.3569490625755
45835200.0,-1954779954.7924037,-253132745225.8061,22504.888131265223,-354.5705790409505
45878400.0,1934168664.7027955,-253176951166.3326,22506.133551781695,3.148399656423379
45921600.0,5823070423.308822,-253159349590.56592,22501.88570311108,360.721483876666
45964800.0,9710976355.79866,-253079969448.51736,22492.15043917094,718.0703002375926
46008000.0,13596938552.833593,-252938853226.72812,22476.934542977655,1075.1166102040988
46051200.0,17480010321.43463,-252736056924.72415,22456.245725066186,1431.7823151865384
46094400.0,21359246345.18946,-252471650030.58963,22430.09262208898,1787.989461669819
46137600.0,25233702844.225697,-252145715495.65155,22398.48479559141,2143.6602463818444
46180800.0,29102437734.980865,-251758349708.26947,22361.432730960852,2498.717021509857
46224000.0,32964510789.798954,-251309662466.7213,22318.947836546507,2853.082299973134
46267200.0,36818983796.382835,-250799776951.17447,22271.04244294654,3206.678760760398
46310400.0,40664920717.13144,-250228829694.73172,22217.72980245921,3559.429254340218
46353600.0,44501387848.38964,-249596970553.5383,22159.02408869423,3911.2568081525637
46396800.0,48327453979.63862,-248904362675.93576,22094.94039634051,4262.084632189593
46440000.0,52142190552.65325,-248151182470.64682,22025.494741086164,4611.8361246736395
46483200.0,55944671820.652855,-247337619573.97437,21950.70405968649,4960.43487784026
46526400.0,59733975007.47052,-246463876815.9956,21870.586210175366,5307.804683834107
46569600.0,63509180466.76568,-245530170185.7317,21785.159972215377,5653.86954072528
46612800.0,67269371841.30351,-244536728795.27206,21694.445047581703,5998.553658653661
46656000.0,71013636222.3242,-243483794842.83008,21598.462060774662,6341.781466108691
46699200.0,74741064309.02402,-242371623574.70715,21497.232559755495,6683.477616351861
46742400.0,78450750568.16904,-241200483246.13992,21390.77901679987,7023.566993989086
46785600.0,82141793393.86194,-239970655081.00424,21279.124829463348,7361.974721700039
46828800.0,85813295267.48051,-238682433230.34848,21162.294321652793,7698.62616713133
46872000.0,89464362917.80644,-237336124729.72778,21040.31274479755,8033.446949960338
46915200.0,93094107481.36057,-235932049455.3092,20913.206279114005,8366.362949136323
46958400.0,96701644662.96114,-234470540078.71683,20781.002034956942,8697.300310305332
47001600.0,100286094896.51942,-232951942020.58496,20643.728054250827,9026.185453425242
47044800.0,103846583506.0861,-231376613402.78595,20501.413311994093,9352.945080577145
47088000.0,107382240867.16078,-229744924999.29883,20354.0877178291,9677.506183979138
47131200.0,110892202568.27576,-228057260185.6831,20201.782117670406,9999.796054208364
47174400.0,114375609572.86346,-226314014887.12158,20044.5282953837,10319.74228863706
47217600.0,117831608381.41635,-224515597524.9953,19882.358974507537,10637.272800088127
47260800.0,121259351193.94579,-222662428961.9517,19715.307820009813,10952.315825715592
47304000.0,124657996072.7459,-220754942445.42755,19543.409440070776,11264.799936115158
